file_name,topo1,topo2,topo3,topo4,address,yandex_map,address_short
novokuybyshevsk,Новокуйбышевск,в Новокуйбышевске,по Новокуйбышевску,Новокуйбышевска,"Новокуйбышевск, улица Суворова, 12Б",3A5bba5fb20835526d840214e632db22c17c5b220006bfe925483037e0edac7f08,"улица Суворова, 12Б"
rostov-na-donu,Ростов-на-Дону,в Ростове-на-Дону,по Ростову-на-Дону,Ростова-на-Дону,"Ростов-на-Дону, проспект Соколова, 51",3Aadc60b624c3fdc6184e0e1f9e81515044742b8276dee10294dbf837c69547d6a,"проспект Соколова, 51"
taganrog,Таганрог,в Таганроге,по Таганрогу,Таганрога,"Таганрог, улица Фрунзе, 45-1",3A939266bcddf04a999e5facb138b87c1aa7191640fa0746fc77740839b7422745,"улица Фрунзе, 45-1"
shakhty,Шахты,в Шахтах,по Шахтам,Шахт,"Шахты, проезд Микрорайон Горняк, 6",3A93208f13238c034add3c88f6074fb9f254b8effc9dd1004c63d0e74d44404e18,"проезд Микрорайон Горняк, 6"
novocherkassk,Новочеркасск,в Новочеркасске,по Новочеркасску,Новочеркасска,"Новочеркасск, улица Крылова, 8А",3A47a81c2093414de309bcb23ac0870593c8c5fa7824d6d59a6d4e8a3b0b4652ee,"улица Крылова, 8А"
volgodonsk,Волгодонск,в Волгодонске,по Волгодонску,Волгодонска,"Волгодонск, улица Гагарина, 21",3A7d7df9a9523cd04176a959bf248ccc9f93ac7a37293858a355b3a80e2671c454,"улица Гагарина, 21"
bataisk,Батайск,в Батайске,по Батайску,Батайска,"Батайск, улица Крупской, 5Б",3A73e9ad79cca02a1344dc94a87fe9ce847b4760066aab9dc5f581c49499911771,"улица Крупской, 5Б"
novoshakhtinsk,Новошахтинск,в Новошахтинске,по Новошахтинску,Новошахтинска,"Новошахтинск, улица Советской Конституции, 8",3A5ce0f66facb07059b793a949d9dc72f19cdf44fc5e29383e0a8a025f372524b0,"улица Советской Конституции, 8"
omsk,Омск,в Омске,"по ""Омску """,Омска,"Омск, 1-я Транспортная улица, 7/1",3A61afd1d1f5646b3149ab2460c21ebbf1f07949fb1602ae23e6ce163f47f705b6,"1-я Транспортная улица, 7/1"
kalachinsk,Калачинск,в Калачинске,по Калачинску,Калачинска,"Калачинск, Советская улица, 3",3A1cedd6e795a931d90f6d43a01dc1717740f358c96b74e908527c1d05dc50feef,"Советская улица, 3"
isilkul,Исилькуль,в Исилькуле,по Исилькулю,Исилькуля,"Исилькуль, Советская улица, 56",3A48015a6983aec7b66c3eb93d3af5cceafdc05be8c41faeb875d604e5dcc35c99,"Советская улица, 56"
nazyvaevsk,Называевск,в Называевске,по Называевску,Называевска,"Называевск, Депутатская улица, 49",3Ae17abc97821537ee281afe8fb1e2b56d1aa7ae2bf8b8f85cc9fb3fc1a63405fd,"Депутатская улица, 49"
tyukalinsk,Тюкалинск,в Тюкалинске,по Тюкалинску,Тюкалинска,"Тюкалинск, Первомайская улица, 1Б",3A38c74bada3a73cad7156e16520b7800a5c0850de7fe3c342f9a5e05b18e211cf,"Первомайская улица, 1Б"
