file_name,topo1,topo2,topo3,topo4,address,yandex_map,address_short
_default,Москва,в Москве,по Москве,Москвы,"Москва, улица Свободы, 1к5",3A4d99a8bd413140692b688aa518b49854c3f17984a5e23253e0b6624c1c10b2fa,"улица Свободы, 1к5"
odincovo,Одинцово,в Одинцово,по Одинцово,Одинцово,"Одинцово, Улица Свободы, дом 1",3Ab6b28faa84b8f204d665ef9b8ce34e4a46f8e4e3c2f7beada3ea392fba766d75,"Улица Свободы, дом 1"
ramenskoe,Раменское,в Раменском,по Раменскому,Раменского,"Раменское, улица Куйбышева, 41",3A4bbd64d2aff6e60cb6e48630fd14f504314c0f53d1e026615b9578760af9a5e9,"улица Куйбышева, 41"
krasnogorsk,Красногорск,в Красногорске,по Красногорску,Красногорска,"Красногорск, Школьная улица, 1",3A21a534ee2738847c9c5f691b0368637df19ace20e8dc284cad122d8c97b3a0fd,"Школьная улица, 1"
mytishchi,Мытищи,в Мытищах,по Мытищам,Мытищ,"Мытищи, улица Мира, 51",3A6681fc2dcf653e8f392c885135b028821a137811f0ca9498c4e91f827e999b96,"улица Мира, 51"
khimki,Химки,в Химках,по Химкам,Химок,"Химки, улица Московская, 16",3Af4b1c801d6ba8e3bf3f46e6e8ffff2fda1b0fcd95d73bb52668959b75ed382a9,"улица Московская, 16"
solnechnogorsk,Солнечногорск,в Солнечногорске,по Солнечногорску,Солнечногорска,"Солнечногорск, Красная улица, дом 154",3A710a9661106f89ea0fcd6130316da5ba9defe3d509155eebd0992980e4a1e805,"Красная улица, дом 154"
dmitrov,Дмитров,в Дмитрове,по Дмитрову,Дмитрова,"Дмитров, улица Загорская, 22",3Aafa24cb836df832d216527ff466927055bb891c09084ea76e98a942f2d0efbeb,"улица Загорская, 22"
balashiha,Балашиха,в Балашихе,по Балашихе,Балашихи,"Балашиха, улица Рождественская, 3",3A2a9f7073e37ab85aa22af63a43f4cc3317961750044c0904ab27dd5c989bcfe2,"улица Рождественская, 3"
podolsk,Подольск,в Подольске,по Подольску,Подольска,"Подольск, улица Кирова, 29",3A456a8eb1650b73857c8c054e48353ab68650a62cac9eb25c4188be347ad07d1b,"улица Кирова, 29"
istra,Истра,в Истре,по Истре,Истры,"Истра, улица Морозова, 5",3A91eb1b79b7f4aad34606e629f7271c53123d2f1015348fce5c78727f3ac6812e,"улица Морозова, 5"
chekhov,Чехов,в Чехове,по Чехову,Чехова,"Чехов, улица Чехова, 27",3A8b73c36089a8c78d2d188eb18e5e3c75725ef75ca86d822d4a536c5b6ccd3d4a,"улица Чехова, 27"
sergiev-posad,Сергиев Посад,в Сергиевом Посаде,по Сергиеву Посаду,Сергиева Посада,"Сергиев Посад, проспект Красной Армии, 232А",3Ad31c49784fa3e2b52bf785e028430a689ba696e4ebb39e7545bc13a41ed373e3,"проспект Красной Армии, 232А"
voskresensk,Воскресенск,в Воскресенске,по Воскресенску,Воскресенска,"Воскресенск, улица Андреса, 27с2",3Ab00e39948d34f97ad6e6f8e74bb76dcbbf1d9003341ab1668b9cb180e0540968,"улица Андреса, 27с2"
naro-fominsk,Наро-Фоминск,в Наро-Фоминске,по Наро-Фоминску,Наро-Фоминска,"Наро-Фоминск, лощадь Свободы, 10",3Ad47a7dd159de56fc4bb96dd1c9800a25b18b7f5551e90ea6f954a4ef6b46f619,"лощадь Свободы, 10"
stupino,Ступино,в Ступино,по Ступино,Ступино,"Ступино, улица Горького, вл. 20",3A4cae84ac82408e1ffff1beebc88ccf0090bea14034dc6938bc292da25d78b341,"улица Горького, вл. 20"
kolomna,Коломна,в Коломне,по Коломне,Коломны,"Коломна, улица Октябрьской Революции, 362",3Ae20563dc899deb45a52c3ff34cac734e781063af4876463f648ab09349bf79c5,"улица Октябрьской Революции, 362"
dolgoprudnyj,Долгопрудный,в Долгопрудном,по Долгопрудному,Долгопрудного,"Долгопрудный, Старое Дмитровское ш., 2с1",3Abced20bcf9cdbebe3e3344d38ecf3df434fc0d360ba8ec4d98ff80895fc0eeb3,"Старое Дмитровское ш., 2с1"
korolyov,Королёв,в Королеве,по Королеву,Королева,"Королёв, улица Лесная, 12",3Aec99ed270b6e32e0eb9109290499400ba7d17b88137e3e32ca4cc33be0a7022d,"улица Лесная, 12"
domodedovo,Домодедово,в Домодедово,по Домодедово,Домодедово,"Домодедово, улица Корнеева, 1А",3A27855bf51728f1ca97c32992be2c98ddd599f0df54d6be57bdd2bd785c0f1979,"улица Корнеева, 1А"
pushkino,Пушкино,в Пушкино,по Пушкино,Пушкино,"Пушкино, Московский проспект, 7А",3A097de111556d6300178e310ec76d0919eb135df552d39170dee6e611668fd284,"Московский проспект, 7А"
serpuhov,Серпухов,в Серпухове,по Серпухову,Серпухова,"Серпухов, улица Советская, 111",3A685dcba4f860a8e3ab394149d50a3687474c458af95d506ef2ecfe0e51a057c5,"улица Советская, 111"
klin,Клин,в Клине,по Клину,Клина,"Клин, улица Гагарина, 5/6",3A37a342d8775838cbac8e7e0cdea8056289daf30c9ae6ac3f46f73908051cc5f3,"улица Гагарина, 5/6"
vidnoe,Видное,в Видном,по Видному,Видного,"Видное, улица Олимпийская, 6, корп. 1",3Ab29b852599abe46972bfafbf95fd996bb946b8068311f796e582258274bf6e09,"улица Олимпийская, 6, корп. 1"
shchyolkovo,Щёлково,в Щёлково,по Щёлково,Щёлково,"Щёлково, улица Талсинская, 1",3A210f3f6d9496d7cc5115c2914cdbb1a48e1b503e4d9e168b95d472d3a134de53,"улица Талсинская, 1"
elektrostal,Электросталь,в Электростали,по Электростали,Электростали,"Электросталь, улица Карла Маркса, 30А",3Aa2043f4131ea49b6e2285909f712decb75f816c6cb22f738dfe2c7a1d5929d1b,"улица Карла Маркса, 30А"
noginsk,Ногинск,в Ногинске,по Ногинску,Ногинска,"Ногинск, улица Комсомольская, 26",3A401302ddaa7764633089937ebaa65f79fcf9eaed003bdb24a3bd1e53b5d0af7b,"улица Комсомольская, 26"
egorevsk,Егорьевск,в Егорьевске,по Егорьевску,Егорьевска,"Егорьевск, улица Советская, 82",3A062600d9f6f2c706e31fc52f8343d3b0e99d359030d40d2c19a4a7f0269a21d5,"улица Советская, 82"
reutov,Реутов,в Реутове,по Реутову,Реутова,"Реутов, улица Ленина, 21",3Ac8f476f00080c0808d77cf5ea84f31213875bc7f39f2b9d1ccd23df2eaae49d7,"улица Ленина, 21"
zhukovskij,Жуковский,в Жуковском,по Жуковскому,Жуковского,"Жуковский, улица Чкалова, 2А",3A28047d26accc6c54f05eb17564ab89ce65f77d781d1342922ad277a102830f66,"улица Чкалова, 2А"
mozhajsk,Можайск,в Можайске,по Можайску,Можайска,"Можайск, улица Мира, 2А",3A296f5ba565a3894e85f87b9dca6107a91f8448adc52457bd8f77f77f04859ac9,"улица Мира, 2А"
orekhovo-zuevo,Орехово-Зуево,в Орехово-Зуево,по Орехово-Зуево,Орехово-Зуево,"Орехово-Зуево, улица Ленина, 14",3Ac9c65e172c03e59f09c94e75d0bb1115f8e96bd29bff814f58038ef62c9d5606,"улица Ленина, 14"
lobnya,Лобня,в Лобне,по Лобне,Лобни,"Лобня, Промышленная улица, 8",3A395254249a32690c454317cd5929a2c5c2c6ed0ecaf0788d25bff3301c531d8e,"Промышленная улица, 8"
volokolamsk,Волоколамск,в Волоколамске,по Волоколамску,Волоколамска,"Волоколамск, улица Панфилова, 28",3A413cea07d6ec6759aaca0db06e74f7af9c5950dfeefaeeba237790edc1b3c2fe,"улица Панфилова, 28"
dubna,Дубна,в Дубне,по Дубне,Дубны,"Дубна, проспект Боголюбова, 26",3A816d66fee42bddf14f0c5373a18f58826fbd4a934a455261f40e6ea985e6a11c,"проспект Боголюбова, 26"
pavlovskij-posad,Павловский Посад,в Павловском Посаде,по Павловскому Посаду,Павловского Посада,"Павловский Посад, улица Кирова, д. 5",3A72a797b767ba4cac640422e6293642e7331e11dea35e5797b38c6e25d770c5fd,"улица Кирова, д. 5"
kashira,Кашира,в Кашире,по Кашире,Каширы,"Кашира, Садовая улица, д. 32",3A6574a4ccd233abf4362771806564741345a819a4b6224167da35b5b6b1169ad6,"Садовая улица, д. 32"
lytkarino,Лыткарино,в Лыткарино,по Лыткарино,Лыткарино,"Лыткарино, Парковая улица, д. 2",3Af0e18e621f2a35296a3b9a8b160e307186e5ba291e3652cb6cf202e453dfce9f,"Парковая улица, д. 2"
luhovicy,Луховицы,в Луховицах,по Луховицам,Луховиц,"Луховицы, улица Жуковского, 20",3A04ad3bad82a00bb07a7802fa08a12f1c10dd7c01d6e301f31301edcb052a54a1,"улица Жуковского, 20"
shatura,Шатура,в Шатуре,по Шатуре,Шатуры,"Шатура, проспект Ильича, д. 34",3A86e9b6a5dbd4f466d53ac3dae59be0df9cdfbf9b96418713947c3b93d021bbb6,"проспект Ильича, д. 34"
fryazino,Фрязино,в Фрязино,по Фрязино,Фрязино,"Фрязино, улица Советская, д. 1В",3A29cf33dd66c52fc9094aa5474aa2b8cd50e5079e699b7324ade4881998dda049,"улица Советская, д. 1В"
dzerzhinskij,Дзержинский,в Дзержинском,по Дзержинскому,Дзержинского,"Дзержинский, Лесная улица, 1",3A7699f50216d8fd714d4ff346512fcff59690527ac31b2a4c578bde497bb5217c,"Лесная улица, 1"
zarajsk,Зарайск,в Зарайске,по Зарайску,Зарайска,"Зарайск, улица Мерецкова, д. 23",3Aab1bf3c8c11d05edb3bb7e5fd6f2fa2fe4ba469b08815edabc615563e0305ee9,"улица Мерецкова, д. 23"
krasnoznamensk,Краснознаменск,в Краснознаменске,по Краснознаменску,Краснознаменска,"Краснознаменск, улица Краснознамённая, 23А",3A79eca6be48c970bd01016a3b71538d18c43f37d76232cf1b64f5946f82739920,"улица Краснознамённая, 23А"
ruza,Руза,в Рузе,по Рузе,Рузы,"Руза, Красная улица, д. 59",3Af5d45f1116ed35df14da16b3fb2f73ed19b26c23561b3dd2feb6e92ffe618d11,"Красная улица, д. 59"
chernogolovka,Черноголовка,в Черноголовке,по Черноголовке,Черноголовки,"Черноголовка, б-р Школьный, 10",3A12799f413c8b5835d0e04516ad494aa5a12d4c83f3c771878bb189730ba43a90,"б-р Школьный, 10"
bronnicy,Бронницы,в Бронницах,по Бронницам,Бронниц,"Бронницы, улица Советская, 116А",3A949d7d632f2e0e9c29b9bdd05f7c1fa07064e0ebb89f2d79d0b56d5ac769ddc1,"улица Советская, 116А"
losino-petrovskij,Лосино-Петровский,в Лосино-Петровске,по Лосино-Петровску,Лосино-Петровска,"Лосино-Петровский, улица Кирова, 6А",3A76630b294797245847fe16dc24a039a254761567b176e42b610ea09e645db970,"улица Кирова, 6А"
kotelniki,Котельники,в Котельниках,по Котельникам,Котельников,"Котельники, Коммерческий проезд, 3с3",3Ae1ae95c52f6f80368f1ee873f8b8521e6c75a9773a3b728f87b282768c0a2c4e,"Коммерческий проезд, 3с3"
taldom,Талдом,в Талдоме,по Талдому,Талдома,"Талдом, улица 8 Марта, д. 6",3A297e9fd07376bf703a0e9b5c2eed7c3c5263e966ef3d4b63525ea8d66bc4e8c6,"улица 8 Марта, д. 6"
shahovskaya,Шаховская,в Шаховской,по Шаховской,Шаховской,"Шаховская, 1-я Советская улица, 26А",3Aa4b5bc2985f4c2d2f741a0755fa3b9a1fe82b8a9eec80876b26dda60950e0db2,"1-я Советская улица, 26А"
vlasiha,Власиха,в Власихе,по Власихе,Власихи,"Власиха, Цветной бульвар, 16",3A7028eb4363393535b62dd56b3c16ac247288d1812ff655494829f8562fc1c76f,"Цветной бульвар, 16"
serebryanye-prudy,Серебряные Пруды,в Серебряных Прудах,по Серебряным Прудам,Серебряных Прудов,"Серебряные Пруды, улица 50 лет ВЛКСМ, д. 15А",3Afc6edae36950228e3d6cba047c9a5b254fcee3b83d634e39d98ad6e48e5c5f6d,"улица 50 лет ВЛКСМ, д. 15А"
lotoshino,Лотошино,в Лотошино,по Лотошино,Лотошино,"Лотошино, Сушзаводская улица, 11",3A8fed9ce6f6123135e8b8b924c8d1e4be4ea96fac467e47b25b82b773a2c6db87,"Сушзаводская улица, 11"
konakovo,Конаково,в Конаково,по Конаково,Конаково,"Конаково, улица Район Завода, 13",3A34ccb1f825519d05c533a04abd46e77addb7c3d13f0cdbf09129a954fb95f32a,"улица Район Завода, 13"
kolchugino,Кольчугино,в Кольчугино,по Кольчугино,Кольчугино,"Кольчугино, улица 50 лет Октября, 9",3Aa6691989338e54a144eba7b98e6c0e3bd62e473a652c6fbe8eecef0d45e57fa0,"улица 50 лет Октября, 9"
kirzhach,Киржач,в Киржаче,по Киржачу,Киржача,"Киржач, Морозовская улица, 95",3A5c8c124a900d1985bb54abb8c16c820b03d447c43948e4c99e4a6d722dd6c036,"Морозовская улица, 95"
ozyory,Озёры,в Озёрах,по Озёрам,Озёр,"Озёры, улица Ленина, 53А",3A9b6897aedd1ca3c69d0a6b6f3dfc0341f5fbf74008f67e0d425cd3fd7edb2ec7,"улица Ленина, 53А"
pushchino,Пущино,в Пущино,по Пущино,Пущино,"Пущино, проспект Науки, 5",3A2cc97c30d0dc27414f7d1034ea979e8ace9eb7c0112140e4642b2d20506d88b5,"проспект Науки, 5"
kubinka,Кубинка,в Кубинке,по Кубинке,Кубинки,"Кубинка, улица Ленина, 1",3A34907422cf1d760d7b55b47f65580e983991328f3cb0fcd2bde2250ce562480c,"улица Ленина, 1"
kimry,Кимры,в Кимрах,по Кимрам,Кимров,"Кимры, улица Урицкого, 64",3A1b8924fec9d5d5a5d4934ed18cf27e9fa8c668b3b1c7c9e25bafedf0730b0bd4,"улица Урицкого, 64"
zelenograd,Зеленоград,в Зеленограде,по Зеленограду,Зеленограда,"Зеленоград, к426Ас1",3Ab8ea324b8b0d13273ae2699784d9548480cefe997dd61830f074f98389ac4494,к426Ас1
obninsk,Обнинск,в Обнинске,по Обнинску,Обнинска,"Обнинск, улица Аксенова, 17",3Af131d41bcc057c6d8c396be1df68688a86e0fb8ccef71bf445130397894eac3b,"улица Аксенова, 17"
ermolino,Ермолино,в Ермолино,по Ермолино,Ермолино,"Ермолино, площадь Ленина, 3",3A6a05826913ff4214817a3078a639468100a63011b1cfc9bca55e5e546098d20e,"площадь Ленина, 3"
tuchkovo,Тучково,в Тучково,по Тучково,Тучково,"Тучково, улица Кирова, 1",3A9bb5a54ac96a6d109854012f5671ef17cc71b4e4868489c6cfa6c01e8e5cab1c,"улица Кирова, 1"
zvenigorod,Звенигород,в Звенигороде,по Звенигороду,Звенигорода,"Звенигород, улица Московская, 29",3Affce2a4e75609435e189ce3763968d5308136b872c38e7493b437217b2c0df83,"улица Московская, 29"
ivanteevka,Ивантеевка,в Ивантеевке,по Ивантеевке,Ивантеевки,"Ивантеевка, улица Дзержинского, 21/2",3A9dd62125be30bf067345ad8f3f7fd4931ef76119bf21ccabcf98cf6352a95a38,"улица Дзержинского, 21/2"
elektrougli,Электроугли,в Электроуглях,по Электроуглям,Электроуглей,"Электроугли, улица Школьная, 23",3Ab082015b35a94ce12fcbbf33a9e3ad89fdfe8537b999b9d86a82d80d5f75a223,"улица Школьная, 23"
zheleznodorozhnyj,Железнодорожный,в Железнодорожном,по Железнодорожному,Железнодорожного,"Железнодорожный, улица Пионерская, 29, стр. 2",3A78b72d2c973ded98973fe75a4d5b092ecac3bdddd3481342dfeb5cef9560c013,"улица Пионерская, 29, стр. 2"
shcherbinka,Щербинка,в Щербинке,по Щербинке,Щербинки,"Щербинка, Бутовский тупик, дом 14",3A29e2a936371da26bcf08db41bfecc91174569c9b2331764fd06609023dd09317,"Бутовский тупик, дом 14"
troick,Троицк,в Троицке,по Троицку,Троицка,"Троицк, улица Городская, дом 2",3A8da223e5bc0210818cc69b1149fc13ffe26f651514ca8ea7e48a50a013e0695c,"улица Городская, дом 2"
klimovsk,Климовск,в Климовске,по Климовску,Климовска,"Климовск, улица Симферопольская, дом 35",3A82ecb164abf71923975af99b24d03d18579a1d9ef15f7beda123cddf5a4dc9ba,"улица Симферопольская, дом 35"
aprelevka,Апрелевка,в Апрелевке,по Апрелевке,Апрелевки,"Апрелевка, улица Августовская, 14",3A93ea824f2d5458f1510d761d00f5af898681f66aa8ce910ad77303874434ea62,"улица Августовская, 14"
golicyno,Голицыно,в Голицыно,по Голицыно,Голицыно,"Голицыно, улица Советская, 1Б",3Aadcb4b4623bc58a308d902abeb7c5763b259e7b46d4cf410624ebc55d19779c7,"улица Советская, 1Б"
nahabino,Нахабино,в Нахабино,по Нахабино,Нахабино,"Нахабино, Институтская улица, дом 17",3A74563f05d4e5c976e840caeb3d614568667b59729bcf78e0b4733e02cb0f759c,"Институтская улица, дом 17"
skhodnya,Сходня,в Сходне,по Сходне,Сходни,"Сходня, 3-й Мичуринский тупик, 5",3A57b0c33e5cc969e12900fc2a2438cc6861386360c791fbabfc84b94d522399fa,"3-й Мичуринский тупик, 5"
selyatino,Селятино,в Селятино,по Селятино,Селятино,"Селятино, Спортивная улица, дом 2А",3Aed5b0a1ff0f81624c54a3664d0c6206b690f1bf0b0854d6c11b12db4cea0b1f5,"Спортивная улица, дом 2А"
vereya,Верея,в Верее,по Верее,Вереи,"Верея, Кировская улица, 8",3Afbdf40426db31136bd5b9132506b3abd5a9e299532ec6a2b2e1414aa735d42e3,"Кировская улица, 8"
kurovskoe,Куровское,в Куровском,по Куровскому,Куровского,"Куровское, улица Советская, дом 125",3A7d789c0fdbda8ddbcce08bb97a59a29b77e369140ced0b0a4da17e9c60317159,"улица Советская, дом 125"
likino-dulyovo,Ликино-Дулёво,в Ликино-Дулёво,по Ликино-Дулёво,Ликино-Дулёво,"Ликино-Дулёво, улица Ленина, 4/1",3A0dcb16d4c71ba7a4067af39fed9ff85357582168e6772844a581ee8f0e125070,"улица Ленина, 4/1"
elektrogorsk,Электрогорск,в Электрогорске,по Электрогорску,Электрогорска,"Электрогорск, улица М. Горького, 3А",3A093878fb0a5e9fd8e96ca28a4eb36b0b1df1665edecd7746b6ab9e8bf511f890,"улица М. Горького, 3А"
sankt-peterburg,Санкт-Петербург,в В Санкт-Петербурге,по По Санкт-Петербургу,Санкт-Петербурга,"Санкт-Петербург, улица Большая Разночинная, 16​",3Aab779e7aaa68549b6297b096741eb5beefc200fc99648500a19594284e08be28,"улица Большая Разночинная, 16​"
volosovo,Волосово,в Волосово,по Волосово,Волосово,"Волосово, проспект Вингиссара, 19А",3Af849bea5062263f3602393f1d5012ab5c1b0e8ec72663be8c40c6918e0bf7597,"проспект Вингиссара, 19А"
volkhov,Волхов,в Волхове,по Волхову,Волхова,"Волхов, улица Советская, 19",3A80e1297220f83b7495f891593c8233c60bb6441c75fd06c06172c65b35d37f12,"улица Советская, 19"
vsevolozhsk,Всеволожск,в Всеволожске,по Всеволожску,Всеволожска,"Всеволожск, улица Малиновского, 6.",3A89c2fbc7aaf85e01fc0883edf4e7ad68d09d96a6be4c1daf9bae33015af42355,"улица Малиновского, 6."
vyborg,Выборг,в Выборге,по Выборгу,Выборга,"Выборг, проспект Московский, 22",3Aa9c38b97a979427d391590b8d6b773f36bc703a8ac9a13a626f39ecee03a08aa,"проспект Московский, 22"
gatchina,Гатчина,в Гатчине,по Гатчине,Гатчины,"Гатчина, проспект 25 Октября, 42",3Aa2b4a06f5b5201828706eab497b32fd9c81cff470a12a2849472c698aeb0cd5d,"проспект 25 Октября, 42"
kingisepp,Кингисепп,в Кингисеппе,по Кингисеппу,Кингисеппа,"Кингисепп, Большая Советская улица, 28",3Aed42db6d1dee85a764784f436e004c00266939d9ad62bc456d25083aea5e636b,"Большая Советская улица, 28"
kirishi,Кириши,в Киришах,по Киришам,Киришей,"Кириши, улица Романтиков, 4",3Ac5bbb7efc4e77d9083729dce2e1eca154a3ecba308eab6fe67469a5d66e408c3,"улица Романтиков, 4"
kirovsk,Кировск,в Кировске,по Кировску,Кировска,"Кировск, улица Набережная, 11",3A10c3c848b6808dcb76ccdcd0c1f593107d7ab3d5bfee5dfdc3cf8042cd87157b,"улица Набережная, 11"
kolpino,Колпино,в Колпино,по Колпино,Колпино,"Колпино, улица Октябрьская, 8",3Ac9d4803f00657b59bd2c2ccb5039eb8e075d9c4b3af0585894d78c2ac0c279cc,"улица Октябрьская, 8"
kronshtadt,Кронштадт,в Кронштадте,по Кронштадту,Кронштадта,"Кронштадт, проспект Ленина, 13",3Aec3c85ea132e730d6308b6d7c641d2ca439ce0130f4a6fcf579bc8d0b6783435,"проспект Ленина, 13"
lomonosov,Ломоносов,в Ломоносове,по Ломоносову,Ломоносова,"Ломоносов, Кронштадтская улица, 4, лит. А",3Af3f769ffd9827e268f02d4add336e158440a7cfd11a9f3db28d09419ac57a138,"Кронштадтская улица, 4, лит. А"
luga,Луга,в Луге,по Луге,Луги,"Луга, проспект Урицкого, 77, корп. 3",3A5b5880fa8949639ab8fb8fc04607208a2177406516ee5c953179c120a2ce77db,"проспект Урицкого, 77, корп. 3"
murino,Мурино,в Мурино,по Мурино,Мурино,"Мурино, улица Шувалова, 8",3A151f339d671dd9e1bf582272f93a9f1b59edf020b80b9ad7f61f3975db06538b,"улица Шувалова, 8"
pushkin,Пушкин,в Пушкине,по Пушкину,Пушкина,"Пушкин, улица Полковая, 1, корп. 25",3Aafab63803db9f973ecee513bf94682d7724cef9e4ce616091733fa026b378f0e,"улица Полковая, 1, корп. 25"
sestroreczk,Сестрорецк,в Сестрорецке,по Сестрорецку,Сестрорецка,"Сестрорецк, Приморское шоссе, 268А",3A01012c387475136c4f934f125fc4123492238e981adaadf962112eef8f6a91cd,"Приморское шоссе, 268А"
tikhvin,Тихвин,в Тихвине,по Тихвину,Тихвина,"Тихвин, улица Карла Маркса, 50",3A66943dea5434cce085199f84c667e6afd310569760c333e9719b1609d2802da0,"улица Карла Маркса, 50"
toksovo,Токсово,в Токсово,по Токсово,Токсово,"Токсово, Привокзальная улица, 16",3A9c0b25f4d10e87422077c910c2ec5c628d3001539becfee2339bba45f30f3db1,"Привокзальная улица, 16"
tosno,Тосно,в Тосно,по Тосно,Тосно,"Тосно, улица Боярова, 4А",3Afbe1fb7dca7248649c0028023f44e4f989eba360b5b9dda3a2207a4f800d6862,"улица Боярова, 4А"
krasnodar,Краснодар,в Краснодаре,по Краснодару,Краснодара,"Краснодар, улица Красная, 176",3Adee437cd8b4b50b090d91f97a43637eae672fb39e6b9b43191fd0db502c18d8c,"улица Красная, 176"
anapa,Анапа,в Анапе,по Анапе,Анапы,"Анапа, Анапское шоссе, 1В",3Af4a2e063cfad1c8621e596303b1ffa24c5994faa52f0c7baf85c0792f038efc2,"Анапское шоссе, 1В"
sochi,Сочи,в Сочи,по Сочи,Сочи,"Сочи, улица Московская, 22",3Ad915bf299a9672945733f27c9834344862025a9033826032eba6909585ca2da6,"улица Московская, 22"
novorossiysk,Новороссийск,в Новороссийске,по Новороссийску,Новороссийска,"Новороссийск, проспект Дзержинского, 211",3A726d0e3f3e56ca527d0cff99d94b944e37c6be6cab5ad56cf94ae7c5e97951d7,"проспект Дзержинского, 211"
labinsk,Лабинск,в Лабинске,по Лабинску,Лабинска,"Лабинск, улица Мира, 194​",3A6ce3c1e16fa965861a39615b6e1075e77b0c20de38afd3db19f99a29499a8919,"улица Мира, 194​"
krymsk,Крымск,в Крымске,по Крымску,Крымска,"Крымск, улица Ленина, 2",3A45f1025519bfe096bdfa709497f0df2b734f34106c2c914401d96c3b829fc52d,"улица Ленина, 2"
gelendzhik,Геленджик,в Геленджике,по Геленджику,Геленджика,"Геленджик, Геленджикский проспект, 165А",3Adb00b44237e9294758c63c581706f35290d8b3da3d70d73c656ae5759968c7d8,"Геленджикский проспект, 165А"
maykop,Майкоп,в Майкопе,по Майкопу,Майкопа,"Майкоп, улица Гоголя, 28",3Acaadf9ca12d9b777077dddc8c048ccbce9b082f0fe9c79994a8a8ef330fffdb2,"улица Гоголя, 28"
armavir,Армавир,в Армавире,по Армавиру,Армавира,"Армавир, улица Мира, 48",3A2bda75d32e4958be3fa6fd6c780c5d5d971f0bbb43b18fd4f92b8969f115cf64,"улица Мира, 48"
belorechensk,Белореченск,в Белореченске,по Белореченску,Белореченска,"Белореченск, улица Интернациональная, 103",3A0bf10e1d3e0966be7cf78ce98cd1039fe2eed5ce5bce46de783cf6df5ed60248,"улица Интернациональная, 103"
eysk,Ейск,в Ейске,по Ейску,Ейска,"Ейск, улица Энгельса, 31",3A01f719ced093f0c09fc242224d6461da8d516d89ff630d23abaf23b8ef2ea623,"улица Энгельса, 31"
slavyansk-na-kubani,Славянск на Кубани,в Славянске на Кубани,по Славянску на Кубани,Славянска на Кубани,"Славянск на Кубани, улица Красная, 40",3Aa189aaafda5c4f50dd1716d44d631f43d05f601fe7034b570c64f7add92c27ac,"улица Красная, 40"
timashevsk,Тимашевск,в Тимашевске,по Тимашевску,Тимашевска,"Тимашевск, улица Ленина, 73",3A973dc04e0d1eaadcf526fc59db31b5410701f94a750238eb34ea9400e338ea6f,"улица Ленина, 73"
temryuk,Темрюк,в Темрюке,по Темрюку,Темрюка,"Темрюк, улица Калинина, 23/1",3A65ad35f9579bfba38b5a5bb950bd90731e9243ba5f8d7fc9b1bca593d3483ba1,"улица Калинина, 23/1"
goryachiy-klyuch,Горячий Ключ,в Горячем Ключе,по Горячему Ключу,Горячего Ключа,"Горячий Ключ, улица Ленина, 190",3Abebc90cf98666bad2b729005ff2fbda8340990571136f5e6fec108b48955180c,"улица Ленина, 190"
tuapse,Туапсе,в Туапсе,по Туапсе,Туапсе,"Туапсе, улица Гагарина, 9, корпус Б",3Aadd9eecbb26bc78c909a59084a4ebb3844d75fb035c9de7bde7b6812632a7200,"улица Гагарина, 9, корпус Б"
afipsky,Афипский,в Афипском,по Афипскому,Афипского,"Афипский, улица Пушкина, 124Б​",3A7e89778eec5d80dd93c19029312041596855e8db9dcfd9b6f27320fb560645ec,"улица Пушкина, 124Б​"
korenovsk,Кореновск,в Кореновске,по Кореновску,Кореновска,"Кореновск, улица Красная, 106А",3Ab9032516fc091a87fd7c630c6d37b94fcb8f3cf9e6d439cd1457e89592e649fd,"улица Красная, 106А"
kropotkin,Кропоткин,в Кропоткине,по Кропоткину,Кропоткина,"Кропоткин, улица Красная, 123",3A67e1e13bef2b313261a5d6335b27f34386db97208d898384440ac7c6253b4141,"улица Красная, 123"
abinsk,Абинск,в Абинске,по Абинску,Абинска,"Абинск, улица Колхозная, 41",3Ab2c67d0a1769fa1a1a7570acc9bf780553725457b4c14c334d4b705a4b2aa4cb,"улица Колхозная, 41"
kurganinsk,Курганинск,в Курганинске,по Курганинску,Курганинска,"Курганинск, улица Ленина, 31",3A7b2646c138ced168065924d42503828d9c254ebc5a37a9ceebe2177c81cd27dc,"улица Ленина, 31"
ust-labinsk,Усть-Лабинск,в Усть-Лабинске,по Усть-Лабинску,Усть-Лабинска,"Усть-Лабинск, улица Пролетарская, 45",3A701a87f42c81d515a20ab24f3634630dafef924586fc337a4e79dd5c0833b637,"улица Пролетарская, 45"
apsheronsk,Апшеронск,в Апшеронске,по Апшеронску,Апшеронска,"Апшеронск, улица Партизанская, 1Г",3Aa44459b13e73f17e0a22e90e389cedc5b997ce0ee498510f273c358178300041,"улица Партизанская, 1Г"
stanitsa-severskaya,станица Северская,в станице Северской,по станице Северской,станицы Северской,"станица Северская, улица Советская, 1А",3Aab1284e7e37f2e083b3750af449d5df7377c89c837513b0c2143f8994392b72d,"улица Советская, 1А"
pskov,Псков,в Пскове,по Пскову,Пскова,"Псков, улица Коммунальная, 41",3A7e75435d43e128425a797bfe2d8db37eda40a0503d83496a2bd4ae6c60d24838,"улица Коммунальная, 41"
velikie-luki,Великие Луки,в Великих Луках,по Великим Лукам,Великих Лук,"Великие Луки, проспект Ленина, 51​",3Afe73a3b63bc3d8af0b7ba277292306788fe24261c5bcec7522f9b4ac52cb9d4a,"проспект Ленина, 51​"
